Real,Count Vectorizer Oversampling,TF-IDF Oversampling,TF-IDF + Count Vec Oversampling,Word2Vec Oversampling,Word2Vec treinado Oversampling,GloVe Oversampling
0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
0,0,0,0,-1,0,0
-1,-1,-1,-1,0,-1,-1
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
-1,-1,0,-1,0,-1,-1
0,0,-1,-1,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,0,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,-1,-1,-1,-1,0
0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1
0,0,1,1,0,0,-1
0,0,0,0,-1,0,0
-1,1,0,-1,-1,0,-1
1,1,1,1,-1,1,1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,-1,-1
-1,-1,1,0,0,-1,-1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,1,1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1
1,1,1,0,0,1,1
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
0,0,0,0,-1,0,0
0,0,0,0,-1,0,0
-1,-1,-1,-1,-1,-1,-1
0,0,0,0,-1,0,0
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,0,1,1
0,0,0,0,-1,1,0
1,1,1,1,-1,1,1
1,1,1,1,0,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
-1,-1,-1,0,0,-1,-1
1,1,1,1,-1,1,1
1,1,1,1,0,1,1
0,0,1,0,0,0,0
1,1,1,1,0,1,1
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,1,0,0,0,0
1,1,1,1,0,1,1
0,0,0,0,0,0,-1
-1,-1,0,0,-1,-1,-1
1,1,1,1,0,1,1
1,1,-1,1,0,0,1
0,0,-1,-1,0,0,0
0,0,0,0,0,0,0
0,0,-1,-1,1,0,0
0,0,-1,-1,0,0,0
0,-1,0,-1,-1,-1,0
-1,-1,0,0,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,0,1,1
0,0,0,0,0,0,0
0,0,-1,-1,0,0,0
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
0,0,0,0,1,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,1,-1,-1
-1,-1,0,0,0,-1,-1
1,1,1,1,-1,1,1
-1,0,1,1,0,-1,-1
0,0,0,0,-1,0,0
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
-1,-1,-1,-1,-1,-1,0
1,1,1,1,0,1,1
1,1,1,1,-1,1,1
0,-1,0,0,-1,0,0
-1,-1,-1,-1,0,-1,-1
-1,0,1,1,0,-1,-1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,0,1,1
-1,-1,0,0,0,0,-1
1,1,1,1,-1,1,1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1
0,-1,1,1,1,0,0
-1,-1,-1,-1,0,-1,-1
0,0,0,0,1,0,0
0,0,0,0,-1,0,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,-1,-1
0,0,0,0,0,0,0
1,1,0,1,0,1,1
0,0,0,0,0,0,0
1,1,1,1,0,1,1
0,0,-1,0,1,0,0
1,1,1,1,-1,1,1
1,1,1,1,0,1,1
0,0,0,0,-1,0,0
0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,-1,0
0,-1,0,0,-1,0,-1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,0,0,0
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,-1,1,1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,0,1,1
0,0,0,0,0,0,0
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,1,-1,-1
0,0,0,0,-1,0,0
1,1,1,-1,0,1,1
1,1,1,1,1,1,1
0,0,1,1,0,0,0
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,-1
1,1,-1,-1,0,1,1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
0,1,0,0,-1,0,0
1,1,1,1,-1,1,1
0,0,1,1,-1,0,0
1,1,1,1,-1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1
0,0,1,0,-1,0,0
0,0,0,0,0,0,0
0,0,1,1,1,-1,0
-1,-1,0,-1,0,-1,-1
0,-1,-1,-1,1,0,0
0,0,0,0,1,0,0
0,0,0,0,1,0,0
1,1,1,1,-1,1,1
0,0,0,0,0,0,0
-1,-1,0,0,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
0,0,1,1,0,0,0
0,0,1,0,0,-1,0
1,1,1,1,-1,1,1
0,0,1,0,-1,0,0
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,-1,1,1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
1,1,1,-1,0,1,1
1,1,1,1,0,1,1
0,0,0,0,0,0,0
-1,-1,-1,0,0,-1,-1
1,1,1,1,0,1,1
0,0,1,0,0,0,0
1,1,1,1,0,1,1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
0,-1,0,0,-1,0,0
0,0,0,0,1,0,0
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1
0,0,0,0,-1,0,0
-1,-1,-1,-1,1,-1,-1
1,1,1,1,0,1,1
0,0,1,1,0,0,0
1,1,1,1,1,1,1
-1,-1,-1,-1,0,-1,-1
0,-1,0,0,-1,-1,0
1,1,1,1,0,1,1
0,-1,-1,-1,0,-1,0
1,1,1,1,-1,1,1
0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1
0,0,1,1,0,0,0
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,0,1,1
0,1,0,0,0,1,0
0,0,1,1,0,1,0
1,1,1,1,0,1,1
1,1,1,1,-1,1,1
-1,0,-1,-1,0,-1,-1
1,1,1,1,1,1,1
-1,-1,-1,-1,0,-1,-1
-1,-1,0,-1,0,-1,-1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
0,0,1,0,0,0,0
1,1,1,1,0,1,1
0,0,1,0,-1,0,0
-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0
1,1,1,1,0,1,1
0,0,0,0,-1,0,0
0,0,-1,-1,-1,0,0
-1,-1,1,1,1,-1,-1
1,1,1,1,0,1,1
0,0,0,0,0,0,0
0,0,-1,-1,-1,0,0
0,0,0,0,1,0,0
0,-1,0,0,-1,0,-1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,0,1,1
0,0,-1,0,0,0,0
-1,-1,-1,-1,0,-1,-1
0,0,-1,-1,-1,0,0
0,0,0,0,0,0,0
1,1,1,1,-1,1,1
0,0,-1,0,-1,0,0
0,0,0,0,-1,1,0
0,0,0,0,-1,0,0
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,-1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,1,1,0,0,0
1,1,1,1,-1,1,1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,1,-1,-1
1,1,1,1,0,1,1
-1,-1,-1,-1,-1,-1,-1
0,0,1,0,0,-1,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,1,0,1,1
1,1,-1,1,0,1,1
1,1,1,1,0,1,1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,-1,-1
0,0,0,0,0,0,0
0,0,1,1,0,0,0
0,0,0,0,-1,0,0
-1,-1,1,1,0,0,-1
1,1,1,1,0,1,1
-1,-1,-1,-1,0,0,-1
-1,-1,-1,-1,-1,-1,-1
0,0,-1,-1,-1,0,0
0,0,0,0,0,0,0
-1,-1,-1,-1,1,-1,-1
0,0,0,0,-1,0,0
0,0,0,0,-1,0,0
0,1,0,1,-1,1,0
1,1,1,1,0,1,1
1,1,1,1,-1,1,1
-1,-1,-1,-1,0,-1,-1
0,0,0,0,0,0,0
1,1,1,1,-1,1,1
1,1,1,1,1,1,1
0,0,0,0,0,1,0
0,0,0,0,0,-1,0
-1,-1,-1,-1,-1,-1,-1
0,0,0,0,1,0,0
0,0,0,0,0,0,0
1,1,1,1,0,1,1
0,0,0,0,0,0,0
1,1,1,1,0,1,1
0,0,0,0,0,0,0
0,0,1,1,-1,1,0
-1,-1,-1,-1,1,-1,-1
1,1,1,1,-1,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,1
1,1,1,1,0,1,1
0,-1,0,0,-1,0,0
1,1,1,1,-1,1,1
0,0,0,0,0,0,-1
1,1,1,1,-1,1,1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,0,1,1
0,0,-1,0,0,-1,0
1,1,-1,-1,1,1,1
1,1,1,1,0,1,1
0,0,1,1,0,0,0
0,0,0,0,0,0,0
0,0,-1,-1,-1,-1,0
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,0,1,1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,-1,-1
0,0,0,0,-1,0,0
0,0,0,0,0,0,0
-1,-1,-1,-1,0,-1,-1
1,1,1,1,0,1,1
0,0,1,0,0,0,0
1,1,1,1,0,1,1
1,1,-1,1,0,1,1
0,0,0,0,0,0,0
0,0,1,1,0,0,0
-1,-1,-1,-1,0,-1,-1
1,1,1,1,-1,1,1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,0,1,1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
0,0,0,0,0,0,0
1,1,1,1,0,1,1
0,0,0,0,-1,0,0
1,1,1,1,-1,1,1
0,0,0,0,0,0,0
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
1,1,0,1,-1,1,1
-1,-1,-1,-1,-1,-1,-1
0,0,0,0,-1,0,0
0,0,0,0,0,0,0
0,0,0,0,1,0,0
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1
0,0,0,1,0,0,0
0,0,0,0,0,-1,0
1,1,1,1,-1,1,1
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,0,1,1
-1,-1,-1,-1,-1,-1,-1
-1,-1,0,0,-1,-1,-1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
1,1,-1,1,0,0,1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
1,1,1,1,-1,1,1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,-1,0,1
0,0,0,0,0,0,0
1,1,1,1,0,1,1
-1,-1,-1,-1,-1,-1,-1
-1,-1,1,1,-1,-1,0
0,0,0,0,1,0,-1
-1,-1,-1,-1,0,-1,-1
0,0,0,0,1,0,0
0,0,0,0,0,0,-1
-1,-1,0,0,-1,-1,-1
1,1,0,1,-1,1,1
1,1,1,1,1,1,1
0,-1,0,0,0,0,-1
1,1,0,1,1,1,1
1,1,1,1,0,1,1
1,1,1,1,-1,1,1
0,1,1,0,0,0,0
1,1,1,1,0,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,0,-1,-1
0,0,0,0,0,1,0
-1,-1,1,0,0,0,-1
1,1,1,1,-1,1,1
1,1,1,1,0,1,1
1,1,1,1,-1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,0,-1,-1
0,0,0,0,0,0,0
0,0,0,-1,-1,0,0
1,1,1,1,1,1,1
1,1,1,1,0,1,1
-1,-1,0,-1,-1,-1,-1
0,0,0,0,0,0,-1
0,0,0,0,-1,0,0
1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,0,1,1
-1,-1,-1,-1,-1,-1,-1
0,0,1,1,-1,0,0
0,0,-1,-1,0,0,0
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
0,0,0,0,-1,0,0
1,1,1,1,0,1,1
1,1,1,1,0,1,1
-1,-1,-1,-1,1,-1,-1
0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,1,-1,-1
1,1,1,1,0,1,1
0,0,1,1,0,0,0
1,1,1,1,0,1,1
-1,-1,-1,-1,1,-1,-1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,1,-1,-1
-1,-1,-1,-1,0,-1,-1
0,0,1,0,-1,0,0
0,0,0,0,1,0,0
-1,-1,-1,-1,0,-1,-1
0,0,0,0,0,0,0
1,1,1,1,-1,1,1
-1,-1,-1,-1,0,-1,-1
0,0,0,0,-1,0,0
-1,-1,-1,-1,0,-1,-1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
1,1,1,1,0,1,1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
0,0,1,1,1,0,0
-1,-1,-1,-1,1,-1,-1
1,1,1,1,0,1,1
0,0,0,0,0,0,0
0,0,0,0,1,-1,0
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
0,0,0,0,0,0,0
1,1,1,0,0,1,1
0,0,-1,0,0,0,0
1,1,1,1,0,1,1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,-1,1,1
1,1,1,1,-1,1,1
-1,-1,0,-1,1,-1,-1
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
0,0,-1,0,-1,0,0
1,1,1,1,0,1,1
0,0,1,1,0,0,0
-1,-1,-1,-1,-1,-1,-1
0,0,1,0,0,0,0
0,-1,-1,0,0,-1,0
0,0,1,1,0,0,0
-1,-1,-1,-1,-1,-1,-1
1,1,1,0,0,1,1
-1,-1,-1,-1,1,-1,-1
0,0,0,0,0,0,0
1,1,1,1,0,1,1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0
0,0,0,0,-1,0,0
1,1,1,1,0,1,1
1,1,1,1,0,1,1
0,0,0,0,-1,0,0
-1,-1,-1,-1,-1,0,-1
-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,1
0,0,0,0,0,0,0
0,0,0,0,1,0,0
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,-1,1,1
-1,-1,-1,-1,0,-1,-1
0,0,0,0,0,1,0
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,0,0
1,1,1,1,0,1,1
0,0,0,0,0,0,0
1,1,1,1,0,1,1
-1,-1,0,-1,0,-1,-1
0,0,0,0,0,0,-1
1,1,1,1,1,1,1
1,1,1,1,0,1,1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,-1,-1
0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
1,1,1,1,-1,1,1
1,1,0,1,0,1,1
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
0,0,0,0,0,0,0
0,-1,1,0,0,-1,-1
1,1,1,1,0,1,1
0,0,1,0,1,1,0
0,0,0,0,0,1,0
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1
0,0,1,1,0,0,-1
-1,-1,-1,-1,0,-1,-1
0,0,0,0,0,0,0
1,1,1,1,0,1,1
1,1,1,1,-1,1,1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
-1,-1,0,0,-1,-1,-1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,-1,1,1
1,1,0,1,0,1,1
1,1,1,1,0,1,1
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,0,1,1
0,0,0,0,0,0,0
0,0,1,1,0,0,0
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1
0,0,1,1,0,0,0
0,0,0,0,-1,0,0
0,-1,-1,-1,-1,0,0
1,1,0,1,-1,1,1
0,0,1,0,1,0,0
0,0,0,0,0,0,0
-1,-1,0,-1,-1,-1,-1
1,1,1,1,0,1,1
0,1,-1,-1,0,-1,0
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,1,1,1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,0,0,1
-1,-1,-1,-1,0,-1,-1
0,0,1,1,0,0,0
0,0,1,0,0,1,0
0,0,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,1,0
-1,-1,-1,-1,0,-1,-1
0,0,0,0,0,0,0
-1,-1,-1,-1,0,-1,-1
0,0,0,0,-1,0,0
0,0,0,0,0,1,0
1,1,1,1,-1,1,1
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
0,0,1,1,0,0,0
1,1,1,1,0,1,1
1,1,1,1,1,1,1
1,1,-1,-1,0,1,1
1,1,1,1,1,1,1
0,0,1,1,0,-1,0
-1,-1,-1,-1,0,-1,-1
0,1,0,0,-1,0,0
0,0,0,0,0,0,0
1,1,1,1,0,1,1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
0,0,0,0,0,0,-1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
0,0,0,0,-1,0,0
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
0,0,1,0,0,-1,0
0,0,1,0,-1,0,0
0,1,-1,-1,-1,0,0
1,1,1,1,0,1,1
0,0,-1,-1,0,0,0
-1,-1,-1,-1,0,-1,-1
-1,-1,0,0,0,-1,-1
0,0,0,0,0,0,0
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
0,0,0,0,-1,0,0
0,0,0,0,-1,0,0
1,1,1,1,-1,1,1
-1,-1,0,0,-1,-1,-1
0,0,1,0,0,1,0
0,0,1,0,0,1,0
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,-1,-1
0,-1,1,1,-1,0,0
1,1,1,1,0,1,1
0,0,0,0,-1,0,0
0,0,0,0,0,0,0
-1,-1,-1,-1,0,-1,-1
1,1,1,1,1,1,1
0,0,0,0,0,0,0
0,0,1,1,0,0,0
0,0,0,0,0,0,0
1,1,1,1,0,1,1
1,1,0,1,0,1,1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
0,0,1,1,-1,1,0
1,1,1,1,0,1,1
1,1,1,1,-1,1,1
0,0,0,0,0,0,0
0,0,0,0,1,0,-1
1,1,1,1,-1,1,1
0,0,1,1,1,0,0
-1,-1,1,0,0,-1,-1
-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0
1,1,1,1,0,1,1
1,1,1,1,1,1,1
-1,-1,-1,-1,0,-1,-1
0,0,0,0,0,0,0
1,1,1,1,-1,-1,1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
0,0,-1,0,0,-1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,1,1,1
1,1,1,0,0,1,1
0,-1,-1,-1,-1,0,-1
1,1,1,1,-1,1,1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,0,1,1
0,0,1,1,0,0,0
0,0,0,0,0,0,-1
1,1,1,1,1,1,1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,1,1,1
1,1,1,1,0,1,1
1,1,1,1,1,1,1
0,0,-1,-1,0,0,0
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
0,0,0,0,-1,0,0
1,1,1,1,0,1,1
0,0,0,0,0,0,0
-1,-1,-1,-1,1,-1,-1
0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,-1,0,0
1,1,1,1,0,1,1
1,1,1,1,0,1,1
0,0,0,0,0,0,0
0,0,-1,-1,0,0,1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,0,1,1
0,1,0,0,0,0,0
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
0,-1,1,0,0,0,0
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1
0,0,1,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,-1,0,0
0,0,0,0,1,0,0
1,1,1,1,0,1,1
0,0,0,0,-1,0,0
-1,-1,-1,-1,0,-1,-1
1,1,1,1,1,1,1
1,1,1,1,1,1,1
0,0,0,0,-1,1,0
1,1,1,1,1,1,1
0,0,1,1,0,0,0
-1,-1,-1,-1,0,-1,-1
0,0,0,0,0,0,0
1,1,1,1,-1,1,1
1,1,1,1,0,1,1
0,0,1,1,0,0,0
-1,0,1,1,0,0,0
-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,1,1,0,0,0
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,-1,1,1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
0,0,0,0,0,0,0
-1,-1,-1,-1,0,-1,-1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
1,0,-1,-1,0,0,1
0,0,1,0,0,0,-1
1,1,1,1,0,1,1
1,1,1,1,-1,1,1
0,0,0,0,0,0,0
0,0,0,0,-1,0,0
0,-1,1,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
0,0,0,0,1,0,0
1,1,1,1,0,1,1
-1,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,0,0
-1,-1,-1,-1,0,-1,-1
0,0,0,0,0,0,0
1,1,1,1,0,1,1
0,0,0,0,0,0,0
0,0,1,1,0,0,-1
0,0,1,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,1,-1,0
0,0,0,0,-1,0,0
1,1,1,1,0,1,1
1,1,1,1,-1,1,1
0,0,-1,-1,1,1,0
-1,-1,-1,-1,0,1,-1
0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,1,-1,-1
1,1,1,1,-1,1,1
0,1,0,0,-1,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,0,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,0,1,1
0,0,0,0,0,0,0
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,0,1,1
0,0,0,0,0,0,0
1,1,1,1,1,1,1
0,0,0,0,1,0,0
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,-1,1,1
0,0,0,0,-1,0,0
0,0,0,0,0,0,0
-1,-1,-1,-1,0,-1,-1
0,-1,0,0,0,0,0
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,0,1,1
0,0,0,0,1,0,0
0,0,1,1,-1,0,0
1,1,1,1,-1,1,1
1,1,1,1,0,1,0
1,1,1,1,1,1,1
0,-1,0,0,0,-1,0
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
0,0,1,1,0,1,0
1,1,1,1,0,1,1
-1,-1,0,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
0,0,0,0,0,0,-1
0,0,0,0,-1,0,0
0,0,1,0,0,0,-1
1,1,1,1,-1,1,1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1
0,0,0,0,-1,0,0
-1,-1,-1,-1,-1,-1,-1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,-1,0,0
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,0,-1,-1
1,1,1,1,-1,1,0
1,1,1,1,0,1,1
-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1
0,0,-1,-1,-1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,1,0
0,0,-1,-1,-1,0,0
-1,-1,0,0,0,0,-1
0,-1,0,0,0,0,0
0,0,0,0,-1,0,0
0,0,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,0,1,1
1,1,1,1,0,1,1
-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1
0,0,0,0,-1,0,0
0,0,0,0,0,0,0
1,1,1,1,0,1,1
0,0,0,0,-1,0,1
-1,-1,-1,-1,-1,-1,-1
0,0,1,0,-1,-1,0
1,1,1,1,-1,1,1
-1,-1,-1,-1,-1,-1,-1
1,1,1,1,0,1,0
-1,-1,-1,-1,-1,-1,-1
0,1,-1,-1,-1,0,0
-1,-1,-1,-1,0,-1,-1
1,1,1,1,0,1,1
0,0,0,0,0,1,0
1,1,1,1,0,1,1
-1,-1,0,0,-1,-1,-1
0,0,0,0,-1,-1,0
-1,-1,-1,-1,0,-1,-1
